Model,AUC,Accuracy,Precision,Recall,F1
Logistic Regression,0.8420160686145339,0.8041163946061036,0.6540880503144654,0.5561497326203209,0.6011560693641619
Random Forest,0.8363688031207213,0.7963094393186657,0.6617100371747212,0.47593582887700536,0.5536547433903577
LightGBM,0.8344196440104368,0.7955997161107168,0.6352201257861635,0.5401069518716578,0.5838150289017341
XGBoost,0.8209408664651632,0.7835344215755855,0.6048632218844985,0.5320855614973262,0.566145092460882
Decision Tree,0.7062517760727479,0.7892122072391767,0.6206896551724138,0.5294117647058824,0.5714285714285714
